file	bytes	sha256
TNBC_Master_Report.docx	12805	FE8ADD39169923E74101A11C489F80CAAAC18C8F56C1AACFAB39F6328073AA21
TNBC_Master_Report.pdf	111922	E2DDDAF161B866CE8FAA14BD4A7B63FF865885F3618FFEB93B798050193DBF9A
TNBC_Master_Dictionary.docx	12938	4886AD237F24B10E3CAF99CFE6059DCF682F18B03783497A55C5B43398082B37
dict_tables.tsv	0	E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855
dict_images.tsv	0	E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855
parameters_M3.json	8576	972957580D6D7026EEB0814B3F902F57115C303D2AF1D4AE61F3F88001474BE7
deliverables_manifest_m3.tsv	2740	E61E98B4C82C6B7F5AE94F6EBB4645E04765E7DC18B723ED11E3C616460FC9A1
sessionInfo_M3.txt	2100	8988862DD90579131F6C3B98215F555DB274ECB6B43FCF9CCADE9715BE953DE5
TNBC_master_bundle.zip	12520	DA235FDA9E53767C35E18D89B9FDCDEB971C29B1E9606A4A0CCA7529E127B13B
TNBC_repro_bundle.zip	6670	7649D9CF6C5196F612559E565AD2BD07B5358674DE6B298349EAA816D954EC46
